stop_id,stop_name,lat,lon,dist_from_lodz_km,reason,confidence
251561,Łódź Dąbrowa,51.735893,19.510457,4.5,name contains dąb,high
1300047,Wiśniowa Góra Jednostka Wojskowa kier. Brzeziny,51.711308,19.62632917,12.82,name contains brzez,high
1300048,Wiśniowa Góra Tuszyńska/Piekarnicza kier. Brzeziny,51.71580092,19.62937803,12.82,name contains brzez,high
1300046,Wiśniowa Góra Tuszyńska/Akacjowa kier. Brzeziny,51.70632327,19.62267344,12.84,name contains brzez,high
1300049,Wiśniowa Góra Szkoła kier. Brzeziny,51.72105781,19.63293452,12.84,name contains brzez,high
1300045,Stróża Kolumny kier. Brzeziny,51.70274117,19.62001795,12.87,name contains brzez,high
1300036,Stróża Gajowa kier. Wola Rakowa,51.69663766,19.61463731,12.9,name contains gaj,high
1300044,Stróża Gajowa kier. Brzeziny,51.69624799,19.61447634,12.91,"name contains gaj, brzez",high
1300043,Stróża Ludwików kier. Brzeziny,51.69180647,19.61046476,12.96,name contains brzez,high
1300050,Andrespol Brzezińska/Rokicińska kier. Brzeziny,51.72576854,19.63931333,13.09,name contains brzez,high
1200019,Andrespol Brzezińska/Rokicińska kier. Bedoń,51.72583553,19.6394076,13.1,name contains brzez,high
1200027,Andrespol Brzezińska/Rokicińska kier. Wola Rakowa,51.72477839,19.63962671,13.15,name contains brzez,high
1200021,Bedoń Ogrodowa/Brzezińska kier. Kościół,51.73677558,19.64552471,13.22,name contains brzez,high
1200025,Bedoń Ogrodowa/Brzezińska kier. Wola Rakowa,51.73670001,19.64560652,13.22,name contains brzez,high
1200026,Bedoń Brzezińska/Sienkiewicza kier. Wola Rakowa,51.73293768,19.6444505,13.23,name contains brzez,high
1300015,Bedoń Brzezińska/Sienkiewicza kier. Wola Rakowa,51.73288499,19.64445236,13.23,name contains brzez,high
1200020,Bedoń Brzezińska/Sienkiewicza kier. Kościół,51.73396049,19.64510105,13.25,name contains brzez,high
1300017,Bedoń Brzezińska/Sienkiewicza kier. Brzeziny,51.73396492,19.64507625,13.25,name contains brzez,high
1300038,Wola Rakowa Brzezińska/Krańcowa kier. Wola Rakowa,51.68585902,19.61122282,13.4,name contains brzez,high
1300042,Wola Rakowa Brzezińska/Krańcowa kier. Brzeziny,51.68589602,19.61146556,13.41,name contains brzez,high
1300014,Bedoń Brzezińska/Słowiańska kier. Wola Rakowa,51.73784784,19.64922107,13.45,name contains brzez,high
1300018,Bedoń Brzezińska/Słowiańska kier. Brzeziny,51.73806792,19.64955098,13.46,name contains brzez,high
1300041,Wola Rakowa Cmentarz kier. Brzeziny,51.67451417,19.60738775,14.0,name contains brzez,high
1300019,Jordanów Ignaców kier. Brzeziny,51.74727497,19.66118807,14.12,name contains brzez,high
1300020,Jordanów 43 kier. Brzeziny,51.7526179,19.66799029,14.54,name contains brzez,high
1300021,Jordanów OSP kier. Brzeziny,51.75777844,19.67518954,15.02,name contains brzez,high
1300022,Adamów kier. Brzeziny,51.77142299,19.69052976,16.13,name contains brzez,high
11100003,Rydzynki Tęczowa/Borowikowa kier. Będków,51.6138937,19.47375985,16.2,name contains bor,high
11100048,Rydzynki Tęczowa/Borowikowa kier. Wczasowa,51.61394284,19.47357075,16.2,name contains bor,high
1300023,Małczew Kapliczka kier. Brzeziny,51.77496791,19.69504674,16.47,name contains brzez,high
11100043,Tuszyn Poddębina/Brzozowa kier. Rydzynki,51.61129262,19.50044363,16.72,name contains brzoz,high
11100008,Tuszyn Poddębina/Brzozowa kier. Będków,51.61125598,19.50063675,16.73,name contains brzoz,high
1300024,Małczew Świetlica kier. Brzeziny,51.77824644,19.70400008,17.13,name contains brzez,high
1200045,Wardzyn Sosnowa Aleja kier. Bedoń,51.64918708,19.64169507,17.66,name contains sosn,high
1200050,Wardzyn Sosnowa Aleja kier. Wola Rakowa,51.64918708,19.64169507,17.66,name contains sosn,high
1300025,Małczew 8 kier. Brzeziny,51.78247738,19.7121659,17.75,name contains brzez,high
1300026,Brzeziny Małczewska/Leśna kier. Głowackiego,51.78622163,19.71946324,18.31,"name contains leś, brzez",high
1300006,Brzeziny Małczewska/Leśna kier. Wola Rakowa,51.787273,19.72137443,18.46,"name contains leś, brzez",high
11000033,Gałków Mały Brzezińska/Łódzka kier. Gałkówek Dworz,51.72500989,19.72201304,18.64,name contains brzez,high
11000037,Gałków Mały Brzezińska/Łódzka kier. Łaznów,51.72501011,19.72195079,18.64,name contains brzez,high
11000022,Borowa pos. 3 kier. Łaznów,51.682584,19.706556,19.19,name contains bor,high
11000009,Borowa pos. 3 kier. Gałkówek Dworzec PKP,51.682584,19.706694,19.2,name contains bor,high
11000010,Borowa Długa/Nowa kier. Gałkówek Dworzec PKP,51.686639,19.710806,19.26,name contains bor,high
11000021,Borowa Długa/Nowa kier. Łaznów,51.686639,19.710806,19.26,name contains bor,high
11000016,Gałków Mały Borowiecka/Sporna kier. Łaznów,51.722861,19.730806,19.28,name contains bor,high
11000020,Borowa Długa/Zielonogórska kier. Łaznów,51.691666,19.715861,19.35,name contains bor,high
11000011,Borowa Długa/Zielonogórska kier. Gałkówek Dworzec PKP,51.691639,19.716,19.36,name contains bor,high
1300027,Brzeziny Małczewska 28 kier. Głowackiego,51.79348027,19.73369585,19.41,name contains brzez,high
1300005,Brzeziny Małczewska 28 kier. Wola Rakowa,51.79399516,19.7348076,19.5,name contains brzez,high
11000019,Borowa Długa/Jarosława kier. Łaznów,51.699889,19.724334,19.56,name contains bor,high
11000012,Borowa Długa/Jarosława kier. Gałkówek Dworzec PKP,51.699889,19.724445,19.57,name contains bor,high
11000018,Borowa OSP kier. Łaznów,51.706694,19.731306,19.77,name contains bor,high
11000013,Borowa OSP kier. Gałkówek Dworzec PKP,51.706667,19.731389,19.78,name contains bor,high
11000014,Borowa Długa/Leśna kier. Gałkówek Dworzec PKP,51.710889,19.73575,19.93,"name contains leś, bor",high
11000017,Borowa Długa/Leśna kier. Łaznów,51.710889,19.735611,19.93,"name contains leś, bor",high
1300004,Brzeziny Muzeum Regionalne kier. Wola Rakowa,51.79927862,19.74355337,20.21,name contains brzez,high
1300028,Brzeziny Fredry kier. Głowackiego,51.79717343,19.74482154,20.25,name contains brzez,high
1300029,Brzeziny św. Anny kier. Głowackiego,51.79754514,19.75220797,20.75,name contains brzez,high
